diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
eskotoma,Q950591, , , , , , , , , , , , ,"368.42,368.43,368.44,368.45","H53.42,H53.43,H53.45","C0029657,C0152192,C0155011,C0155012",D012607,C118737, ,Ikus-eremuaren murrizketa, 
Q950838,Q950838, , , , , , , , , , , , , , ,C0206660,D018237,C3753, , , 
papiledema,Q953049, , , , , , , , , , , , ,"377.0,377.00,377.31","H46.0,H47.1,H47.10",C0030353,D010211,C3307, ,"Begi-nerbioko papilan likidoa pilatzea, garezur barneko odol-presioa handitzeak eta begi-orbitarako zaineko jarioa buxatzeak eragindakoa", 
Q953330,Q953330, , , , , , , , , , , , , ,C71.9,C0334582, ,C4322, , , 
esklerodermia,Q958797, , , , ,"Q7434137,Scleroderma","Q1383511,Q7434137", , , , , , , , ,C0011644, ,C26746,https://eu.wikipedia.org/wiki/Esklerodermia, , 
Q959922,Q959922, , , , , , , , , , , , ,"680.8,680.9", ,C0007079,D002270, , , , 
Q964920,Q964920, , , , , , , , , , , , ,"523.2,523.20,523.24","K06.0,K06.01,K06.010","C0017572,C0266916",D005889,C82068, , , 
Kriptorkidia,Q966052, , , , , , , , , , , , ,"752.5,752.51",Q53.9,C0010417,D003456,C12326,https://eu.wikipedia.org/wiki/Kriptorkidia,"Gizonezkoen garapen-anomalia, fetua garatzen ari dela testikuluetako bat edo biak ez dira eskrotora behar bezala jaisten eta abdomenean edo izterrondoan geratzen dira", 
mixedema,Q966229, , ,"Tri-iodotironina,lebotiroxina,tiroglobulina","Q20817224,Q327362,Q773449", , , , ,hipotiroidismo,Q16501, , , ,E03.9,C0027145,D009230,C34834, ,Tiroide guruinaren funtzionamendu-gutxiegitasunak sorturiko gaixotasuna, 
Q970203,Q970203,"beherako,goragale,oka","Q127076,Q186889,Q40878", , ,laktosarekiko intolerantzia,Q219223, , ,esne,Q8495, , , , ,C0079840,D016269, , , , 
Q970826,Q970826, , , , , , , , , , , , ,300.89, ,C0282550,D018923, , , , 
Q972514,Q972514, , ,metilprednisolona,Q417222, , , , , , , , ,"377.3,377.30,377.39","H46,H46.9","C0029134,C0085582",D009902,C84950, , , 
espondilolistesi,Q973524, , , , ,Espondilosi,Q1097028, , , , , , , ,"M43.1,M43.10",C0038016,D013168,C35033, ,"Bizkarrezurreko orno bat azpikoarekiko aurrera mugitzea, bizkarrezur-arkuko akats batengatik edo artikulazioen endekapenezko gaitz batek artikulazio-gainazala higatzeagatik. Gehienetan, azken bi orno lunbarretan gertatu ohi da", 
Q974691,Q974691, , , , , , , , ,Giza papilomaren birus,Q184627, , ,"078.19,757.8",B07,C0014522,D004819,C126877, , , 
Q975705,Q975705, , , , , , , , , , , , ,"535.2,535.20,535.21",K29.6,"C0017155,C2936660",D005758,C67277, , , 
hidramnios,Q976163, , , , , , , , , , , , ,"657,657.0,657.00",O40,C0020224,D006831,C92848, ,Obulutegi-barrunbean likido amniotiko gehiegi izatea, 
Q976388,Q976388, , ,"Q180983,Q27139135","Q180983,Q27139135", , , , , , , , ,"208.0,208.00","C95.0,C95.00","C0085669,C1378511,C1839882,C4280572",C564112,"C9298,C9300", , , 
besikulako minbizi,Q977787, , , , , , , , , , , , ,"156,156.0,156.8",C23,"C0016978,C0153452,C0278806,C4020708", ,"C35676,C7481", , , 
Q980709,Q980709, , ,"Diazepam,Fenobarbital,Lorazepam,Midazolam,Q415850,Q418445,Q422740,Q5473363,pentobarbital","Q210402,Q407241,Q408265,Q409632,Q415850,Q418445,Q422740,Q423071,Q5473363", , , , , , , , , , ,C0038220,D013226,C85079, , , 
Q987319,Q987319, , , , , , , , , , , , ,"405,405.9,405.99","I15,I15.9",C0155616, ,C3657, , , 
hipertentsio esentzial,Q988405, , ,Q575890,Q575890, , , , , , , , ,"401,401.9",I10,C0085580,D000075222,C3478, ,Jatorri ezezaguna duen odol-presio altua, 
Q991538,Q991538, , , , , , , , , , , , ,253.8,E23.6,C0032001,D010899,C26853, , , 
bruxismo,Q994942,Q684868,Q684868, , , , , , , , , , ,327.53,"F45.8,G47.63","C0006325,C0393774",D002012,C73511,https://eu.wikipedia.org/wiki/Bruxismo,Hortz antagonisten arteko marruskadura iraunkor eta inkontzientea, 
Q1004647,Q1004647, , ,"Q412323,Q4567614,Sulfopiridina,metotrexato,prednisolona,prednisona","Q11426176,Q3976827,Q412323,Q422232,Q424972,Q4567614", , , , , , , , ,694.5,"L12,L12.0,L12.9",C0030805,D010391,"C34908,C84389", , , 
Q1017169,Q1017169,nekrosi,Q178069, , , , , , ,infekzio,Q166231, , , ,A31.1,C0085568,D054312,C84604, , , 
Q1018652,Q1018652, , , , , , , , ,Q21175435,Q21175435, , ,504,J66.0, ,D002095, , , , 
piloroestenosi,Q1027995, , , , , , , , , , , , , ,K31.1,C0034194,D011707,C34966, ,"Piloroko zuloa estutzea, urdailetik heste meharrera doan elikagai-kopurua mugatzen duena, asaldua sortzetikoa izan daiteke edo, helduetan, ultzera edo fibrosi baten ondorioa", 
Q1029344,Q1029344, , , , , , , , , , , , , , , , , , , , 
Q1034620,Q1034620, , , , , , , , ,infekzio,Q166231, , ,127.5,B81.1,C0006897, , , , , 
Q1034736,Q1034736, , , , , , , , , , , , , , ,C0006915,D002205, , , , 
Q1035319,Q1035319,"Q935293,artritis,tripako min","Q170990,Q183425,Q935293", , ,A Ig-k eragindako nefropatia,Q1146454, , , , , , ,287.0,D69.0,"C0034152,C0086922",D011695,C34963, , , 
in situ kartzinoma,Q1035645, , , , , , , , , , , , ,"230-234.99,234.9",D09.9,C0007099,D002278,C2917, , , 
Q1047551,Q1047551, , , , , , , , , , , , ,194.4,C75.3,"C0031941,C0153655,C1412004",D010871,"C3328,C3573,C6965", , , 
genero disforia,Q1049021, , ,"Q15748953,Sexua berresleitzeko ebakuntza","Q1053501,Q15748953", , , , , , , , ,302.6,F64.2,C0236802,D000068116, ,https://eu.wikipedia.org/wiki/Genero_disforia, , 
paraplegia,Q1049655, , , , ,tetraplegia,Q944758, , , , , , ,344.1,"G82.2,G82.20","C0030486,C0037772",D010264,C50687,https://eu.wikipedia.org/wiki/Paraplegia,beheko bi gorputz-adarren erabateko paralisia,paraplegiko
Q1049881,Q1049881, , , , , , , , , , , , ,361.10,H33.10,C0152439,D041441,C85046, , , 
neguko depresio,Q1051223, , , , ,fobia sozial,Q281928, , ,iluntasun,Q204170, , ,296.99, , ,D016574, ,https://eu.wikipedia.org/wiki/Neguko_depresio,"urte-sasoi jakin batzuetan, udazken edo negu-hasieran batik bat, depresio nagusia agertzeak ezaugarritzen duen gogo-aldartearen nahasmendua",urtaroen araberako afektibitate-nahasmendu
konbertsio-nahasmendu,Q1051355, , , , ,Nahasmendu faktizio,Q2686385, , , , , , ,300.11,F44,C0009946,D003291, , , , 
zaldi-buztanaren sindrome,Q1051436,Q2142191,Q2142191, , , , , , , , , , ,344.6,G83.4,C0392548, ,C35436, , , 
Q1052626,Q1052626,Odoljario,Q166019, , , , , , , , , , ,516.1,J84.03,C0020807,C536281, , , , 
Q1053824,Q1053824, , ,"Captopril,Papaberina,Q1117888,Q413772,Q425296","Q1117888,Q410374,Q413772,Q421119,Q425296",Q5142470,Q5142470, , , , , , , ,I73.0,"C0034734,C0034735",D011928, , , , 
Xeroftalmia,Q1054713, , , , , , , , , , , , ,375.15,"E50.7,H04.12",C0043349,D014985,C34503,https://eu.wikipedia.org/wiki/Xeroftalmia,"Begiko kornea lehortzea, A bitaminaren ezak eragindakoa eta ikusmena galtzea dakarrena", 
nefropatia,Q1054718, , ,"Dopamina,Q155746","Q155746,Q170304",neuropatia,Q945238, , , , , , ,583.81,"N08,N28.9","C0022658,C0266292,C1408258",D007674,"C3149,C34843",https://eu.wikipedia.org/wiki/Nefropatia,Giltzurruneko gaixotasunak izendatzeko erabiltzen den hitz orokorra, 
Q1059765,Q1059765, , ,"Q15646788,Q204962,Q415336","Q15646788,Q204962,Q415336", , , , , , , , ,523.8,K05.6,C0031090,D010510,C63743, , , 
Nortasunaren nahasmendu nartzisista,Q1060310, , , , ,Nortasunaren nahasmendu antisozial,Q118418, , , , , , ,301.81,F60.81,C0027402,D010554,C92635,https://eu.wikipedia.org/wiki/Nortasunaren_nahasmendu_nartzisista, , 
Q1063085,Q1063085, , , , , , , , , , , , ,713.5,M14.6,C0003892,D001177, , , , 
dibertikulitis,Q1066061,"Melena,beherako,goragale,idorreri,sukar,tripako min","Q1163908,Q178436,Q183425,Q186889,Q38933,Q40878","Eskopolamina,Q47495791,Ziprofloxazino,metronidazol","Q169569,Q256602,Q337188,Q47495791",dibertikulosi,Q278158, , , , ,"Q1549149,kolonoskopia,odol-analisi,ordenagailu bidezko tomografia axiala","Q1549149,Q32566,Q840387,Q886837", , ,C0012813,D004238,C26752,https://eu.wikipedia.org/wiki/Dibertikulitis,kolonaren gaixotasuna, 
Q1066265,Q1066265, , , , , , , , , , , , ,736.89,M93.2,C0029376, ,C34874, , , 
keilitis,Q1068997,hantura,Q101991, , , , , , , , , , , ,K13.0,"C0007971,C4280288",D002613,C79545, ,"Ahoko ezpainen hantura, besikula txikiak eta zartadurak sortzen dituena", 
Q1072290,Q1072290, , , , , , , , , , , , , , ,C0037050,D018877, , , , 
Adierazpen-hizkuntzaren nahasmendu,Q1075470, , , , , , , , , , , , ,315.31,F80.1,C0236826, ,C92562,https://eu.wikipedia.org/wiki/Adierazpen-hizkuntzaren_nahasmendu, , 
Q1075909,Q1075909, , , , , , , , , , , , ,575.6,K82.4,C0152456, , , , , 
Kolestasi,Q1075923, , ,"Fenobarbital,Q419028","Q407241,Q419028", , , , , , , , ,576.2,K83.1,C0008370,D002779,C83006,https://eu.wikipedia.org/wiki/Kolestasi, , 
Q1076053,Q1076053, , , , , , , , , , , , , , ,C0008441,D002804,C2945, , , 
kondroma,Q1076078, , , , , , , , , , , , , , ,"C0936248,C1704356",D002812,C53459, ,Hezurretako kartilago-ehunetan sortzen den tumore onbera, 
Q1076389,Q1076389, , , , , , , , , , , , , ,C76.7,C0008487,D002817,C2947, , , 
Q1076481,Q1076481, , ,"Q186127,binblastina,kloranbuzil","Q186127,Q282629,Q415939", , , , , , , , , ,C58,C0008497,D002822,C2948, , , 
Q1077139,Q1077139,tik,Q738538, , , , ,Q662860,Q662860, , , , ,"307.2,307.20","F95,F95.9",C0040188,D013981, , , , 
Q1087554,Q1087554, , , , , , , , , , , , , ,L23.0, , , , , , 
Q1087811,Q1087811, , , , , , , , ,infekzio,Q166231, , , , ,C1135993,D034081, , , , 
Q1088042,Q1088042, , , , , , , , , , , , , , , , , , , , 
Q1088055,Q1088055, , , , , , , , , , , , ,382.3,H66.3,C0271454, ,C128386, , , 
Q1088057,Q1088057, , , , , , , , , , , , , ,D47.1,C0023481,D015467,C3179, , , 
leuzemia monozitiko kroniko,Q1088072, , ,"Q416451,Q425681","Q416451,Q425681", , , , , , , , , ,C93.1,C0023480,D015477,C3178, , , 
Q1088163,Q1088163, , , , , , , , , , , , , , ,C0032927,D011230,C3341, , , 
Q1093815,Q1093815, , , , , , , , , , , , , , ,"C0598608,C1864154,C3495426",D020138,C84770, , , 
Espondilosi,Q1097028, , , , ,Q2000072,Q2000072, , , , , , ,"721.3,721.9","M47,M47.9","C0038019,C0263854,C1384641",D055009, ,https://eu.wikipedia.org/wiki/Espondilosi, , 
Q1097957,Q1097957, , ,"Pentoxifilina,Q258591","Q258591,Q416331", , , , ,"Q1431933,Q1478321,Q378681,Q746001","Q1431933,Q1478321,Q378681,Q746001", , ,440.21,I73.9,C0021775,D007383, , , , 
Hatz-agnosia,Q1114480, , , , , , , , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Hatz-agnosia, ,Agnosia digital
Q1122668,Q1122668, , , , , , , , , , , , ,270.2,"E70.2,E70.21",C0268483,D020176,C98640, , , 
Q1124606,Q1124606, , , , , , , , , , , , , , ,"C0017075,C1513025",D005729,"C42065,C6934", , , 
Q1125160,Q1125160, , ,Q6665709,Q6665709,Q2097389,Q2097389, , , , , , ,696.3,L42,C0032026,D017515,C26855, , , 
Hornerren sindrome,Q1126839, , , , , , , , , , , , ,337.09,G90.2,C0019937,D006732,C28155,https://eu.wikipedia.org/wiki/Hornerren_sindrome, ,Hornerren sindromea
Shock toxikoaren sindrome,Q1128440,"Hipotentsio,Q178061,beherako,oka","Q127076,Q178061,Q275419,Q40878","Adrenalina,Fenilefrina,Hormona antidiuretiko,Kortisol,Naloxona,Q412221,dexametasona,sinbastatina","Q132621,Q183011,Q190875,Q282902,Q412221,Q421910,Q422252,Q670131", , , , , , , , ,040.82,A48.3,C0600327,D012772,C35498,https://eu.wikipedia.org/wiki/Shock_toxikoaren_sindrome, , 
Q1128595,Q1128595, , ,"Hidralazina,Prostaziklina,Q15424759,Q2154494,Q27114267,Q2718713,Q3221044,Q3495231,Q410789,Q419769,Q424156,Q579348,Q6724151,Sildenafilo,Tiotropio","Q15424759,Q191521,Q2154494,Q27114267,Q2718713,Q3221044,Q3495231,Q410789,Q412050,Q419769,Q419987,Q424156,Q424316,Q579348,Q6724151", , , , , , , , , ,"I27.2,I27.20",C0020542,D006976,C3120, , , 
Q1129046,Q1129046, , , , , , , , , , , , , , , , , , , , 
balbulopatia,Q1130519, , ,Warfarina,Q407431, , , , , , , , ,424.99, ,"C0018824,C0079485,C0241654",D006349,C45525,https://eu.wikipedia.org/wiki/Balbulopatia,bihotz-balbulei eragiten dieten gaixotasun,"balbula-gaixotasun,gaixotasun balbular"
Q1131786,Q1131786,bihotz-gutxiegitasun,Q181754,Q410789,Q410789, , , , , , , , , ,"I27.81,I27.9",C0034072,D011660,C34478, , , 
Q1132056,Q1132056, , , , , , , , ,Trigger puntu,Q741032, , ,729.1, ,C0027073,D009209, , , , 
hipospadia,Q1132108, , , , , , , , , , , , , ,"Q54,Q54.9",C0848558,D007021,C40341, ,"Uretrako meatuaren kokapen anormala. Meatua ildo prepuzialean, zakilaren behe-aurpegian edota perineoan ireki daiteke", 
trigeminoaren neuralgia,Q1132120, , ,"Gabapentina,Karbamazepina,Lamotrigina,Q176301,Q412174,Q413717,Q757058,tizanidina","Q176301,Q410346,Q410352,Q410412,Q412174,Q413717,Q423538,Q757058", , , , , , , , ,350.1,G50.0,C0040997,D014277, ,https://eu.wikipedia.org/wiki/Trigeminoaren_neuralgia,gaixotasun neuropatikoa, 
Q1132959,Q1132959, , , , , , , , , , , , ,345.51, ,C0154712, , , , , 
Q1134891,Q1134891,Elikadura,Q213449, , ,Pica,Q271634, , , , , , ,307.52, ,C0031873,D010842,C92566, , , 
Aurpegiko paralisi periferiko,Q1135338, , , , , , , , , , , , ,351.0,G51.0,C0376175,D020330,C26769,https://eu.wikipedia.org/wiki/Aurpegiko_paralisi_periferiko, , 
disfuntzio sexual,Q1137463, , ,Q424156,Q424156, , , , , , , , , ,"F52.9,R37",C0549622, ,C3347,https://eu.wikipedia.org/wiki/Disfuntzio_sexual, ,"sexu disfuntzio,sexu-disfuntzio"
Q1138188,Q1138188, , , , , , , , , , , , , , ,"C0018553,C0391826",D006223,C3076, , , 
balanitis,Q1138584, , , , , , , , , , , , , ,N48.1,C0004690,D001446,C26705,https://eu.wikipedia.org/wiki/Balanitis,Glandearen hantura, 
Q1140516,Q1140516, , , , , , , , , , , , ,357.82,G62.81,C0393851, , , , , 
Estenosi mitral,Q1140794, , , , , , , , , , , , , , ,C0026269,D008946,C50654,https://eu.wikipedia.org/wiki/Estenosi_mitral, , 
Q1143025,Q1143025, , , , , , , , , , , , ,"144,144.0,144.1,144.9","C04,C04.0,C04.1,C04.9","C0026640,C0153368,C0153369,C0496758", ,C9318, , , 
Iztai hernia,Q1144039, , , , , , , , , , , , ,"550,550.90","K40,K40.90","C0019294,C0019295,C0019296",D006552,"C34690,C34691,C34692",https://eu.wikipedia.org/wiki/Iztaiko_hernia,Iztai hoditik irteten den abdomeneko edukiaren protrusioa,"Hernia inginala,Iztondoko etena"
Leukorrea,Q1144334, , , , , , , , , , , , , ,N89.8,C0023533,D007973,C34775,https://eu.wikipedia.org/wiki/Leukorrea, , 
Q1144406,Q1144406, , , , , , , , , , , , ,"658.0,658.00","O41.0,O41.00","C0079924,C3550658",D016104,C92839, , , 
Faszitis nekrosatzaile,Q1145674, , , , , , , , , , , , ,728.86,M72.6,C0238124,D019115,C84916,https://eu.wikipedia.org/wiki/Faszitis_nekrosatzaile, , 
Q1147596,Q1147596, , , , , , , , , , , , ,367.51,H52.52,C0235238, , , , , 
Q1147908,Q1147908,hantura,Q101991, , , , , , , , , , , , ,C0034215,D055112,C121207, , , 
kartzinoma hepatozelular,Q1148337,"Ikterizia,Izerdi,hepatomegalia,pisu galera,tripako min","Q133244,Q1362864,Q183425,Q3503092,Q718113","Q27077807,Q37243546,Q421136","Q27077807,Q37243546,Q421136", , , , , , , , , ,C22.0,"C1862761,C1867955,C2239176",D006528,C3099, , , 
Q1149046,Q1149046, , ,"Q421239,Q5276473","Q421239,Q5276473", , , , , , , , , ,E72.01,C0010691,D003555,C84664, , , 
Q1150299,Q1150299, , , , , , , , , , , , , ,G40.8,C1868677, , , , , 
Q1150378,Q1150378, , ,Talidomida,Q203174, , , , , , , , , , ,C0027822,D009450,C111963, , , 
Q1154055,Q1154055,nekrosi,Q178069, , , , , , , , , , ,732.6,"M92,M93.9","C0029429,C0158445",D055034,C34879, , , 
dakriozistitis,Q1157761, , , , , , , , , , , , ,375.30,H04.30,C0010930,D003607,C34521,https://eu.wikipedia.org/wiki/Dakriozistitis,Malko-zakuaren hantura, 
Q1162694,Q1162694, , ,Q3320636,Q3320636, , , , , , , , , , ,C0022575,D007638,C34553, , , 
giltzurrun-zelulen kartzinoma,Q1164529, , ,"Ipilimumab,Q13896859,Q27139901,Q28852343,Q413299,Q417542,Q421052,Q421136,Q4830631,Q6523413,Q7041828,Q7157043,Q7699074,Q795057","Q13896859,Q2459042,Q27139901,Q28852343,Q413299,Q417542,Q421052,Q421136,Q4830631,Q6523413,Q7041828,Q7157043,Q7699074,Q795057", , , , , , , , , , ,C1861854,D002292,C9385, ,giltzurrunaren tubuluko zelula epitelialen tumore gaiztoa,hipernefroma
Q1165179,Q1165179,"Ugalkortasun ez,anosmia,hipogonadismo,osteoporosi","Q165328,Q179399,Q468433,Q938107", , , , , , , , , , , ,E23.0,C0162809,D017436,C75479, , , 
hesteetako tuberkulosi,Q1166500,"Odoljario,Urdail-hesteetako odoljario,goragale,oka","Q127076,Q1495657,Q166019,Q186889", , , , , , , , , , ,"014.8,014.80", ,C0152724, , , , , 
hezurren hantura,Q1178507,hantura,Q101991, , , , , , , , , , , , , ,D010000, , ,Hezur-ehunaren hantura,osteitis
gaitz desmielinizatzaile,Q1186703, , , , , , , , , , , , , ,G35.G37,C0011303,D003711,C34527, ,Neuronetako mielina erauztea edo suntsitzea eragiten duen edozein gaitz, 
Q1193891,Q1193891, , , , , , , , , , , , , ,R41.2,C0002624,D000648,C34372, , , 
Laringitis,Q1194557, , ,Q420682,Q420682,Faringitis,Q2085267, , , , , , ,464.00, ,C0023067,D007827,C26811,https://eu.wikipedia.org/wiki/Laringitis, , 
burezur barneko aneurisma,Q1198391,"Buru-nahasmendu,diplopia,neuropatia,oka","Q127076,Q557945,Q775940,Q945238", , , , , , ,"Larruazaleko gaixotasun bakterianoa,ezezaguna","Q1779300,Q24238356","Elektroentzefalografia,angiografia,ordenagailu bidezko tomografia axiala,ziztada lunbar","Q179965,Q32566,Q468414,Q719444", , ,C0007766,D002532,C34458,https://eu.wikipedia.org/wiki/Burezur_barneko_aneurisma, ,burmuineko aneurisma
Q1200267,Q1200267, , , , , , , , , , , , , ,K09.8,C0011649,D003884,C9011, , , 
Q1201709,Q1201709, , , , , , , , , , , , ,368.52,H53.53, , , , , , 
garuneko infartu,Q1209150, , ,"Atorbastatina,Klopidogrel,Q258591,Q420262,Q421274,Q45769835","Q258591,Q410237,Q420262,Q421274,Q45769835,Q668093", , , , , , , , ,"433.01,433.21,433.31,433.81,434.91","I63,I63.9",C0007785,D002544,C50486,https://eu.wikipedia.org/wiki/Garuneko_infartu, , 
umetokiko minbizi,Q1209744, , ,"Q175901,Q186127,Q212272,Q27032359,Q416554,etoposido","Q175901,Q186127,Q212272,Q27032359,Q416554,Q418817", , , , , , , , ,179,C55,"C0042138,C0153567",D014594,"C3435,C3552",https://eu.wikipedia.org/wiki/Umetokiko_minbizi, , 
Q1224295,Q1224295, , , , , , , , , , , , ,537.84,K31.82,C1135229, , , , , 
Q1225194,Q1225194, , , , , , , , ,Q1502331,Q1502331, , , , , , , , , , 
Q1233526,Q1233526, , , , , , , , , , , , , ,Q78.2,C0029464,D010026,C41236, , , 
Q1242612,Q1242612,Q622427,Q622427, , , , , , , , , , ,270.8,G90.8,"C0342687,C1857209",C535600, , , , 
iztaiko ezkabia,Q1243807, , ,"Q15624030,Q3359058,Sulkonazol","Q15624030,Q2392530,Q3359058",Q2435680,Q2435680, , , , , , ,110.3, ,C0011638, ,C34535,https://eu.wikipedia.org/wiki/Iztaiko_ezkabia, ,tinea cruris
Q1246050,Q1246050, , , , ,Aleksja,Q20666975, , , , , , ,315.01, ,"C0002018,C0013388",D004411, , , , 
Q1257011,Q1257011, , , , , , , , , , , , , ,Q61.5,C0687120, ,C123200, , , 
Q1266395,Q1266395, , , , , , , , , , , , ,152.0,C17.0,"C0153426,C0541912", ,"C4803,C9328", , , 
duodenitis,Q1266418, , , , , , , , , , , , ,"535.6,535.60",K29.8,C0013298,D004382,C94409, ,Duodenoaren hantura, 
Q1266519,Q1266519, , ,"Q413299,Q414270,Q4689286","Q413299,Q414270,Q4689286", , , , , , , , ,"370.6,370.60","H16.4,H16.40",C0085109,D016510, , , , 
gaixotasun baskular,Q1266890, , , , , , , , , , , , ,430-458,I60-I89,"C0002940,C0042373,C0752127,C0752130",D014652,"C26693,C35117",https://eu.wikipedia.org/wiki/Gaixotasun_baskular, ,"baskulopatia,odol-hodietako gaixotasun"
Q1269251,Q1269251, , , , , , , , , , , , , , ,C0013377,D004407,C2996, , , 
disidrosi,Q1269276, , , , , , , , , , , , ,"692.9,705.81", ,C0032633,D011146, , ,Hatz eta behatzen alboetan besikula txikizko erupzio mingarriak agertzea ezaugarritzat duen larruazaleko gaixotasuna, 
Q1276885,Q1276885, , , , , , , , , , , , ,253.8,E23.6,C0016724, ,C34625, , , 
Q1282114,Q1282114, , , , , , , , , , , , ,"784.40,784.49", ,C0037822,D013064,C5041, , , 
Q1300720,Q1300720, , , , , , , , , , , , ,368.51,H53.54,C0155015, , , , , 
Q1306218,Q1306218, , , , , , , , , , , , , , ,C0031039,D010490,C3319, , , 
Q1314058,Q1314058, , , , , , , , , , , , ,215.9,C47.9,"C0751691,C1370657", ,"C4973,C6912", , , 
Q1318384,Q1318384, , , , , , , , , , , , , , ,"C0028945,C1335110",D009837,"C129319,C3288,C6960", , , 
Q1321884,Q1321884, , , , , , , , , , , , ,359.0, ,C2937300, , , , , 
Q1323002,Q1323002, , ,Q4567614,Q4567614, , , , , , , , , ,N04,"C0027721,C1704320",D009402,C34844, , , 
Q1324103,Q1324103, , , , , , , , , , , , ,455.4,K64.5,C0155784, , , , , 
glositis,Q1324237, , , , , , , , , , , , ,529.0,K14.0,C0017675,D005928,C112199,https://eu.wikipedia.org/wiki/Glositis,Mihiaren hantura, 
entropion,Q1327273, , , , , , , , , , , , ,374.00, ,C0014390,D004774, , ,Betazalaren ertza barrualdera itzultzean sortzen den arazoa, 
Artritis erreaktibo,Q1327700, , ,"Q348260,Q415343","Q348260,Q415343", , , , , , , , ,"099.3,711.3,711.30,711.40","M02.1,M02.10,M02.3,M02.30,M02.8","C0035012,C0085435,C0152085",D016918,"C128332,C34975",https://eu.wikipedia.org/wiki/Artritis_erreaktibo, , 
Q1327842,Q1327842, , , , , , , , , , , , , , , ,"C537189,C537731", , , , 
Q1328833,Q1328833, , ,"Q27292429,errisperidona,klorpromazina","Q27292429,Q407972,Q412443", , , , , , , , ,313.81, ,C0029121, ,C92565, , , 
Lewyren gorputzen dementzia,Q1331905,"Haluzinazio,Q1531991,dementzia","Q130741,Q1531991,Q83030","Q411887,Q415081,Q7194603","Q411887,Q415081,Q7194603",Q101245788,Q101245788,Q662860,Q662860,ezezaguna,Q24238356,"Anamnesi,Q64830627,Q873512","Q188952,Q64830627,Q873512",331.82,G31.83,"C0085200,C0752347,C1851957,C1851958",D020961,C84826,https://eu.wikipedia.org/wiki/Lewyren_gorputzen_dementzia, , 
Q1334408,Q1334408, , , , , , , , , , , , , , ,C0085110,D016511,C3472, , , 
endometritis,Q1340774, , , , , , , , , , , , , , ,C0014179,D004716,C26764,https://eu.wikipedia.org/wiki/Endometritis,Endometrioaren infekzioa, 
Q1342955,Q1342955, , , , , , , , , , , , ,"187.3,187.4","C60,C60.2,C60.9","C0153600,C0153601",D010412,C7547, , , 
Anemia kaltegarri,Q1346016, , ,"B12 bitamina,Hidroxokobalamina","Q252251,Q73972", , , , ,Q3234995,Q3234995, , ,281.0,D51.0,C0002892,D000752,C2871,https://eu.wikipedia.org/wiki/Anemia_pernizioso, , 
Q1347256,Q1347256, , , , , , , , , , , , ,"375.2,375.20","H04.2,H04.20",C0152227, ,C50552, , , 
nutrizio-gaixotasun,Q1361144, , ,"Azido linoleiko,Kolesterol,Tirosina,azido alfa-linoleniko","Q188017,Q256502,Q407426,Q43656", , , , , , , , , , ,C3714509,D009748,C26836, ,hartutako mantenugaiak kopuruz edo izaeraz desegokiak izateagatik sortutako gaixotasuna,"elikadura-gaixotasun,elikadura-nahasmendu,elikadurako gaixotasun,elikadurako nahasmendu,nutrizio-nahasmendu,nutrizioko gaixotasun,nutrizioko nahasmendu"
Q1361346,Q1361346, , , , ,Q2502694,Q2502694, , ,azido,Q11158, , ,521.3,K03.2,C0040436,D014077, , , , 
Q1361850,Q1361850, , , , , , , , , , , , ,381.7,"H69.0,H69.00",C0155434, , , , , 
Q1362453,Q1362453, , ,Q416975,Q416975, , , , , , , , ,171.9,C49.9,"C0016057,C0206643,C1336021",D005354,"C3043,C6605,C7075", , , 
Eritema multiforme,Q1363732,Q4732121,Q4732121, , , , , , , , , , ,"695.1,695.10",L51,C0014742,D004892,C3024,https://eu.wikipedia.org/wiki/Eritema_multiforme, , 
glioma,Q1365309, , ,Q27253076,Q27253076, , , , , , , , , , ,"C0017638,C0555198",D005910,"C3059,C4822",https://eu.wikipedia.org/wiki/Glioma,"Nerbio-sistemako tumorea, glian jatorria duena", 
Q1378921,Q1378921, , , , , , , , , , , , ,790.94,E07.81,C0015190,D005067,C113170, , , 
Q1383947,Q1383947, , , , , , , , , , , , ,"300.19,698.4",L98.1,C1274184, ,C34599, , , 
Q1384176,Q1384176, , , , , , , , , , , , ,726.91,M27.8,C1442903,D005096,C3029, , , 
Q1393463,Q1393463, , ,Q420296,Q420296, , , , , , , , ,"148,148.3,148.9","C13,C13.2,C13.9","C0153398,C0496770", ,C7190, , , 
nekazari-birika,Q1396859, , , , , , , , , , , , ,495.0,J67.0,C0015634,D005203,C34605, ,Lizundutako belar onduan eta bestelako zeinbait gai organikotan dauden lizun-esporak arnasteak eragiten duen biriketako asaldu akutua, 
Q1398913,Q1398913, , , , , , , , , , , , , ,D55.0,C0015702,D005236,C34607, , , 
Q1402851,Q1402851, , , , , , , , , , , , ,363.20,"H30,H30.9",C0008513,D002825,C110923, , , 
Q1409081,Q1409081, , , , , , , , ,tabakismo,Q152100, , , ,O99.330, , , , , , 
Q1409160,Q1409160, , , , , , , , , , , , , ,"O43.0,O43.02,O43.029",C2909036,D005330,C113824, , , 
